# OCP data for Sony Graphite negative electrode, delithiation
# sto,ocp
1.000000,0.012209
0.999946,0.014880
0.999891,0.015834
0.999837,0.016406
0.999782,0.016787
0.999728,0.017360
0.999674,0.017550
0.999619,0.017932
0.999565,0.018314
0.999510,0.018504
0.999456,0.018695
0.999401,0.018886
0.999347,0.019267
0.999293,0.019267
0.999238,0.019458
0.999184,0.019649
0.999129,0.019840
0.999075,0.020030
0.999020,0.020030
0.998966,0.020221
0.998912,0.020412
0.998857,0.020412
0.998803,0.020603
0.998748,0.020793
0.998694,0.020793
0.998639,0.020984
0.998585,0.021175
0.998531,0.021175
0.998476,0.021366
0.998422,0.021557
0.998367,0.021557
0.998313,0.021747
0.998258,0.021938
0.998204,0.021938
0.998150,0.022129
0.998095,0.022320
0.998041,0.022320
0.997986,0.022320
0.997932,0.022510
0.997877,0.022701
0.997823,0.022701
0.997769,0.022701
0.997714,0.022892
0.997660,0.023083
0.997605,0.023083
0.997551,0.023083
0.997497,0.023273
0.997442,0.023273
0.997388,0.023464
0.997333,0.023655
0.997279,0.023655
0.997224,0.023846
0.997170,0.023846
0.997116,0.023846
0.997061,0.024036
0.997007,0.024227
0.996952,0.024227
0.996898,0.024418
0.996843,0.024418
0.996789,0.024609
0.996735,0.024609
0.996680,0.024800
0.996626,0.024800
0.996571,0.024990
0.996517,0.024990
0.996462,0.025181
0.996408,0.025181
0.996354,0.025372
0.996299,0.025372
0.996245,0.025372
0.996190,0.025563
0.996136,0.025753
0.996081,0.025753
0.996027,0.025753
0.995973,0.025944
0.995918,0.026135
0.995864,0.026135
0.995809,0.026135
0.995755,0.026135
0.995700,0.026326
0.995646,0.026516
0.995592,0.026516
0.995537,0.026516
0.995483,0.026707
0.995428,0.026898
0.995374,0.026898
0.995320,0.026898
0.995265,0.027089
0.995211,0.027089
0.995156,0.027279
0.995102,0.027279
0.995047,0.027470
0.994993,0.027661
0.994939,0.027661
0.994884,0.027852
0.994830,0.027852
0.994775,0.028043
0.994721,0.028043
0.994666,0.028233
0.994612,0.028233
0.994558,0.028424
0.994503,0.028424
0.994449,0.028424
0.994394,0.028615
0.994340,0.028806
0.994285,0.028806
0.994231,0.028806
0.994177,0.028996
0.994122,0.028996
0.994068,0.029187
0.994013,0.029187
0.993959,0.029187
0.993904,0.029378
0.993850,0.029378
0.993796,0.029569
0.993741,0.029569
0.993687,0.029759
0.993632,0.029759
0.993578,0.029950
0.993524,0.029950
0.993469,0.029950
0.993415,0.030141
0.993360,0.030332
0.993306,0.030523
0.993251,0.030523
0.993197,0.030713
0.993143,0.030713
0.993088,0.030713
0.993034,0.030904
0.992979,0.030904
0.992925,0.031095
0.992870,0.031095
0.992816,0.031286
0.992762,0.031286
0.992707,0.031476
0.992653,0.031476
0.992598,0.031476
0.992544,0.031667
0.992489,0.031667
0.992435,0.031858
0.992381,0.031858
0.992326,0.032049
0.992272,0.032049
0.992217,0.032049
0.992163,0.032239
0.992108,0.032239
0.992054,0.032430
0.992000,0.032430
0.991945,0.032621
0.991891,0.032621
0.991836,0.032621
0.991782,0.032812
0.991728,0.033002
0.991673,0.033002
0.991619,0.033002
0.991564,0.033193
0.991510,0.033193
0.991455,0.033384
0.991401,0.033384
0.991347,0.033575
0.991292,0.033766
0.991238,0.033766
0.991183,0.033766
0.991129,0.033956
0.991074,0.033956
0.991020,0.034147
0.990966,0.034147
0.990911,0.034338
0.990857,0.034338
0.990802,0.034529
0.990748,0.034529
0.990693,0.034719
0.990639,0.034719
0.990585,0.034910
0.990530,0.034910
0.990476,0.034910
0.990421,0.035101
0.990367,0.035101
0.990312,0.035292
0.990258,0.035292
0.990204,0.035292
0.990149,0.035482
0.990095,0.035482
0.990040,0.035673
0.989986,0.035673
0.989931,0.035864
0.989877,0.035864
0.989823,0.036055
0.989768,0.036055
0.989714,0.036055
0.989659,0.036245
0.989605,0.036245
0.989551,0.036436
0.989496,0.036436
0.989442,0.036627
0.989387,0.036818
0.989333,0.036818
0.989278,0.036818
0.989224,0.037009
0.989170,0.037009
0.989115,0.037199
0.989061,0.037199
0.989006,0.037390
0.988952,0.037390
0.988897,0.037581
0.988843,0.037581
0.988789,0.037581
0.988734,0.037772
0.988680,0.037772
0.988625,0.037962
0.988571,0.037962
0.988516,0.037962
0.988462,0.038153
0.988408,0.038153
0.988353,0.038344
0.988299,0.038344
0.988244,0.038344
0.988190,0.038535
0.988135,0.038725
0.988081,0.038725
0.988027,0.038725
0.987972,0.038916
0.987918,0.038916
0.987863,0.039107
0.987809,0.039107
0.987755,0.039298
0.987700,0.039298
0.987646,0.039488
0.987591,0.039488
0.987537,0.039488
0.987482,0.039679
0.987428,0.039870
0.987374,0.039870
0.987319,0.039870
0.987265,0.040061
0.987210,0.040252
0.987156,0.040252
0.987101,0.040252
0.987047,0.040442
0.986993,0.040442
0.986938,0.040633
0.986884,0.040633
0.986829,0.040633
0.986775,0.040824
