# OCP data for Sony Graphite negative electrode, lithiation
# sto,ocp
0.000000,1.494077
0.000001,1.488354
0.000002,1.483394
0.000003,1.478434
0.000004,1.473283
0.000005,1.467942
0.000006,1.462600
0.000007,1.457450
0.000008,1.452490
0.000009,1.447148
0.000010,1.442189
0.000011,1.437229
0.000013,1.432078
0.000014,1.426927
0.000015,1.421967
0.000016,1.416817
0.000018,1.411666
0.000019,1.406706
0.000020,1.401555
0.000022,1.396596
0.000023,1.391636
0.000025,1.386485
0.000026,1.381334
0.000028,1.376374
0.000029,1.371414
0.000031,1.366264
0.000033,1.361304
0.000034,1.356344
0.000036,1.351193
0.000038,1.346233
0.000040,1.341273
0.000042,1.336123
0.000043,1.331163
0.000045,1.326203
0.000047,1.321243
0.000049,1.316283
0.000051,1.311323
0.000053,1.306363
0.000055,1.303883
0.000057,1.298733
0.000059,1.293773
0.000061,1.288813
0.000063,1.283853
0.000066,1.278702
0.000068,1.273742
0.000070,1.268783
0.000073,1.263823
0.000075,1.258863
0.000078,1.253903
0.000080,1.248943
0.000083,1.243983
0.000086,1.239023
0.000088,1.234063
0.000091,1.229103
0.000094,1.224143
0.000097,1.219183
0.000100,1.214224
0.000103,1.209264
0.000106,1.204304
0.000109,1.199344
0.000109,1.198772
0.000112,1.193812
0.000116,1.188852
0.000119,1.183892
0.000122,1.178932
0.000126,1.173972
0.000129,1.169012
0.000133,1.164052
0.000136,1.159092
0.000140,1.154132
0.000144,1.149172
0.000148,1.144213
0.000152,1.139253
0.000156,1.134293
0.000161,1.129333
0.000164,1.126281
0.000168,1.121321
0.000173,1.116361
0.000178,1.111401
0.000183,1.106441
0.000188,1.101481
0.000194,1.096521
0.000200,1.091561
0.000206,1.086601
0.000213,1.081641
0.000218,1.077826
0.000225,1.072866
0.000233,1.067906
0.000241,1.062946
0.000250,1.057986
0.000259,1.053027
0.000269,1.048067
0.000273,1.046159
0.000284,1.041199
0.000295,1.036239
0.000307,1.031279
0.000321,1.026319
0.000327,1.024030
0.000341,1.019070
0.000357,1.014110
0.000373,1.009150
0.000382,1.006670
0.000399,1.001711
0.000418,0.996751
0.000436,0.992172
0.000456,0.987212
0.000477,0.982252
0.000491,0.979391
0.000513,0.974431
0.000537,0.969471
0.000545,0.967754
0.000570,0.962794
