# OCP data for Sony LFP positive electrode, delithiation
# sto,ocp
1.000000,2.402390
0.999995,2.407345
0.999988,2.412300
0.999981,2.417255
0.999972,2.422210
0.999963,2.427165
0.999954,2.432120
0.999945,2.436312
0.999934,2.441267
0.999922,2.446222
0.999911,2.451177
0.999898,2.456132
0.999889,2.459753
0.999876,2.464708
0.999862,2.469663
0.999849,2.474618
0.999835,2.479573
0.999834,2.479763
0.999819,2.484718
0.999804,2.489673
0.999789,2.494628
0.999778,2.497868
0.999763,2.502823
0.999746,2.507778
0.999730,2.512733
0.999723,2.514639
0.999705,2.519594
0.999688,2.524549
0.999670,2.529504
0.999668,2.530075
0.999648,2.535030
0.999629,2.539985
0.999612,2.543987
0.999593,2.548942
0.999572,2.553897
0.999557,2.557518
0.999535,2.562473
0.999513,2.567428
0.999501,2.569905
0.999480,2.574860
0.999456,2.579815
0.999446,2.581912
0.999421,2.586867
0.999397,2.591822
0.999391,2.592965
0.999366,2.597920
0.999341,2.602875
0.999335,2.603637
0.999310,2.608592
0.999283,2.613547
0.999280,2.613928
0.999252,2.618883
0.999225,2.623838
0.999224,2.623838
0.999196,2.628793
0.999169,2.633176
0.999139,2.638131
0.999114,2.642324
0.999082,2.647279
0.999058,2.651090
0.999026,2.656045
0.999003,2.659666
0.998970,2.664621
0.998947,2.667861
0.998914,2.672816
0.998892,2.676056
0.998856,2.681011
0.998837,2.683679
0.998802,2.688634
0.998781,2.691302
0.998745,2.696257
0.998726,2.698544
0.998690,2.703499
0.998671,2.705976
0.998631,2.710931
0.998615,2.713027
0.998574,2.717982
0.998560,2.719507
0.998521,2.724462
0.998504,2.726368
0.998463,2.731323
0.998449,2.732657
0.998408,2.737612
0.998394,2.739136
0.998350,2.744091
0.998338,2.745235
0.998294,2.750190
0.998283,2.751333
0.998237,2.756288
0.998227,2.757241
0.998183,2.762196
0.998172,2.763149
0.998125,2.768104
0.998117,2.768866
0.998069,2.773821
0.998061,2.774393
0.998013,2.779348
0.998006,2.779919
0.997954,2.784874
0.997950,2.785255
0.997898,2.790210
0.997895,2.790401
0.997845,2.795356
0.997840,2.795737
0.997786,2.800692
0.997784,2.800883
0.997729,2.805837
0.997675,2.810792
0.997673,2.810792
0.997618,2.815557
0.997563,2.820321
0.997507,2.825086
0.997452,2.829469
0.997396,2.834043
0.997341,2.838616
0.997286,2.843000
0.997230,2.847573
0.997175,2.851766
0.997119,2.856149
0.997064,2.860151
0.997009,2.864344
0.996953,2.868537
0.996898,2.872539
0.996842,2.876731
0.996787,2.880543
0.996732,2.884164
0.996676,2.888166
0.996621,2.892168
0.996565,2.895979
0.996510,2.899600
0.996455,2.903221
0.996399,2.907033
0.996344,2.910654
0.996288,2.914465
0.996233,2.917705
0.996178,2.921326
0.996122,2.924756
0.996067,2.928187
0.996012,2.931617
0.995956,2.935047
0.995901,2.938478
0.995845,2.941718
0.995790,2.945148
0.995735,2.948197
0.995679,2.951627
0.995624,2.954867
0.995568,2.958107
0.995513,2.961347
0.995458,2.964587
0.995402,2.967636
0.995347,2.970685
0.995291,2.973925
0.995236,2.976974
0.995181,2.980023
0.995125,2.983072
0.995070,2.986122
0.995014,2.989171
0.994959,2.992029
0.994904,2.995079
0.994848,2.997937
0.994793,3.000796
0.994737,3.003845
0.994682,3.006704
0.994627,3.009562
0.994571,3.012421
0.994516,3.015280
0.994460,3.018138
0.994405,3.020997
0.994350,3.023665
0.994294,3.026333
0.994239,3.029001
0.994183,3.031860
0.994128,3.034528
0.994073,3.037386
0.994017,3.040054
0.993962,3.042722
0.993906,3.045581
0.993851,3.048249
0.993796,3.050726
0.993740,3.053204
0.993685,3.055872
0.993630,3.058540
0.993574,3.061018
0.993519,3.063876
0.993463,3.066354
0.993408,3.068831
0.993353,3.071499
0.993297,3.073977
0.993242,3.076454
0.993186,3.079122
0.993131,3.081600
0.993076,3.084268
0.993020,3.086555
0.992965,3.089032
0.992909,3.091510
0.992854,3.093987
0.992799,3.096465
0.992743,3.098751
0.992688,3.101229
0.992632,3.103706
0.992577,3.106184
0.992522,3.108471
0.992466,3.110948
0.992411,3.113235
0.992355,3.115713
0.992300,3.118190
0.992245,3.120668
0.992189,3.122573
0.992134,3.125051
0.992078,3.127338
0.992023,3.129625
0.991968,3.131911
0.991912,3.134198
0.991857,3.136676
0.991801,3.138772
0.991746,3.141059
0.991691,3.143346
0.991635,3.145823
0.991580,3.147920
0.991524,3.150207
0.991469,3.152494
0.991414,3.154780
0.991358,3.156877
0.991303,3.159164
0.991248,3.161451
0.991192,3.163547
0.991137,3.165834
0.991081,3.167930
0.991026,3.170217
0.990971,3.172313
0.990915,3.174410
0.990860,3.176697
0.990804,3.178793
0.990749,3.180889
0.990694,3.182986
0.990638,3.185463
0.990583,3.187369
0.990527,3.189465
0.990472,3.191752
0.990417,3.193848
0.990361,3.195754
0.990306,3.198041
0.990250,3.199947
0.990195,3.202043
0.990140,3.204139
0.990084,3.206236
0.990029,3.208332
0.989973,3.210428
0.989918,3.212334
0.989863,3.214431
0.989807,3.216336
0.989752,3.218051
0.989696,3.220148
0.989641,3.222244
0.989586,3.224150
0.989530,3.226056
0.989475,3.228152
0.989419,3.229867
0.989364,3.231773
0.989309,3.233869
0.989253,3.235775
0.989198,3.237681
0.989142,3.239396
0.989087,3.241302
0.989032,3.243207
0.988976,3.244923
0.988921,3.246828
0.988865,3.248543
0.988810,3.250259
0.988755,3.252355
0.988699,3.253880
0.988644,3.255785
0.988589,3.257310
0.988533,3.259216
0.988478,3.260740
0.988422,3.262265
0.988367,3.263980
0.988312,3.265695
0.988256,3.267410
0.988201,3.268935
0.988145,3.270650
0.988090,3.271984
0.988035,3.273699
0.987979,3.275033
0.987924,3.276749
0.987868,3.278083
0.987813,3.279607
0.987758,3.281132
0.987702,3.282466
0.987647,3.283800
0.987591,3.285134
0.987536,3.286658
0.987481,3.287993
0.987425,3.289327
0.987370,3.290661
0.987314,3.291995
0.987259,3.293138
0.987204,3.294281
0.987148,3.295616
0.987093,3.296759
0.987037,3.298093
0.986982,3.299046
0.986927,3.300380
0.986871,3.301714
0.986816,3.302667
0.986760,3.304001
0.986705,3.304954
0.986650,3.305907
0.986594,3.307241
0.986539,3.308003
0.986483,3.309146
0.986428,3.310290
0.986373,3.311052
0.986317,3.312196
0.986262,3.313148
0.986207,3.314101
0.986151,3.315054
0.986096,3.315626
0.986040,3.316579
0.985985,3.317722
0.985930,3.318675
0.985874,3.319628
0.985819,3.320200
0.985763,3.321153
0.985708,3.322296
0.985653,3.323058
0.985597,3.323821
0.985542,3.324583
0.985486,3.325536
0.985431,3.326298
0.985376,3.327060
0.985320,3.328013
0.985265,3.328966
0.985209,3.329538
0.985154,3.330300
0.985099,3.331062
0.985043,3.332015
0.984988,3.332587
0.984932,3.333349
0.984877,3.333921
0.984822,3.334874
0.984766,3.335446
0.984711,3.336399
0.984655,3.336970
0.984600,3.337923
0.984545,3.338495
0.984489,3.339067
0.984434,3.340020
0.984378,3.340591
0.984323,3.341354
0.984268,3.341925
0.984212,3.342497
0.984157,3.343069
0.984101,3.344022
0.984046,3.344593
0.983991,3.345165
0.983935,3.345927
0.983880,3.346690
0.983825,3.347261
0.983769,3.347643
0.983714,3.348405
0.983658,3.348977
0.983603,3.349739
0.983548,3.350501
0.983492,3.350882
0.983437,3.351645
0.983381,3.352216
0.983326,3.352979
0.983271,3.353550
0.983215,3.353931
0.983160,3.354694
0.983104,3.355266
0.983049,3.356028
0.982994,3.356600
0.982938,3.356981
0.982883,3.357552
0.982827,3.358315
0.982772,3.358886
0.982717,3.359458
0.982661,3.359839
0.982606,3.360411
0.982550,3.360983
0.982495,3.361554
0.982440,3.362317
0.982384,3.362889
0.982329,3.363270
0.982273,3.363841
0.982218,3.364604
0.982163,3.364985
0.982107,3.365557
0.982052,3.365938
0.981996,3.366509
0.981941,3.367081
0.981886,3.367462
0.981830,3.368225
0.981775,3.368796
0.981719,3.369178
0.981664,3.369749
0.981609,3.370321
0.981553,3.370702
0.981498,3.371464
0.981442,3.372036
0.981387,3.372227
0.981332,3.372798
0.981276,3.373370
0.981221,3.373751
0.981166,3.374514
0.981110,3.374895
0.981055,3.375276
0.980999,3.375657
0.980944,3.376229
0.980889,3.376801
0.980833,3.377372
0.980778,3.377944
0.980722,3.378135
0.980667,3.378706
0.980612,3.379278
0.980556,3.379659
0.980501,3.380231
0.980445,3.380803
0.980390,3.381184
0.980335,3.381565
0.980279,3.381946
0.980224,3.382518
0.980168,3.382899
0.980113,3.383471
0.980058,3.383852
0.980002,3.384233
0.979947,3.384614
0.979891,3.385186
0.979836,3.385567
0.979781,3.386139
0.979725,3.386520
0.979670,3.387092
0.979614,3.387282
0.979559,3.387854
0.979504,3.388235
0.979448,3.388807
0.979393,3.389188
0.979337,3.389569
0.979282,3.390141
0.979227,3.390331
0.979171,3.390712
0.979116,3.391284
0.979060,3.391475
0.979005,3.391856
0.978950,3.392428
0.978894,3.392999
0.978839,3.393381
0.978784,3.393381
0.978728,3.393952
0.978673,3.394333
0.978617,3.394715
0.978562,3.395096
0.978507,3.395667
0.978451,3.396049
0.978396,3.396430
0.978340,3.396620
0.978285,3.397192
0.978230,3.397573
0.978174,3.397764
0.978119,3.398145
0.978063,3.398717
0.978008,3.399098
0.977953,3.399288
0.977897,3.399670
0.977842,3.400051
0.977786,3.400432
0.977731,3.400813
0.977676,3.401385
0.977620,3.401766
0.977565,3.401956
0.977509,3.402338
0.977454,3.402528
0.977399,3.402909
0.977343,3.403290
0.977288,3.403672
0.977232,3.403862
0.977177,3.404434
0.977122,3.404815
0.977066,3.405196
0.977011,3.405387
0.976955,3.405768
0.976900,3.405959
0.976845,3.406340
0.976789,3.406721
0.976734,3.407102
0.976678,3.407483
0.976623,3.407674
0.976568,3.408055
0.976512,3.408436
0.976457,3.408627
0.976401,3.408817
0.976346,3.409198
0.976291,3.409579
0.976235,3.409770
0.976180,3.410151
0.976125,3.410532
0.976069,3.410913
0.976014,3.411295
0.975958,3.411485
0.975903,3.411676
0.975848,3.411866
0.975792,3.412247
0.975737,3.412629
0.975681,3.412819
0.975626,3.413200
0.975571,3.413200
0.975515,3.413582
0.975460,3.413963
0.975404,3.414344
0.975349,3.414725
0.975294,3.414725
0.975238,3.415106
0.975183,3.415297
0.975127,3.415678
0.975072,3.415868
0.975017,3.416059
0.974961,3.416250
0.974906,3.416821
0.974850,3.417012
0.974795,3.417393
0.974740,3.417584
0.974684,3.417774
0.974629,3.417965
0.974573,3.418346
0.974518,3.418536
0.974463,3.418727
0.974407,3.419108
0.974352,3.419299
0.974296,3.419489
0.974241,3.419870
0.974186,3.420252
0.974130,3.420442
0.974075,3.420633
0.974019,3.420823
0.973964,3.420823
0.973909,3.421205
0.973853,3.421395
0.973798,3.421776
0.973743,3.421967
0.973687,3.422157
0.973632,3.422348
0.973576,3.422539
0.973521,3.422920
0.973466,3.423110
0.973410,3.423491
0.973355,3.423491
0.973299,3.423873
0.973244,3.423873
0.973189,3.424063
0.973133,3.424444
0.973078,3.424635
0.973022,3.424825
0.972967,3.425016
0.972912,3.425207
0.972856,3.425397
0.972801,3.425778
0.972745,3.425969
0.972690,3.426159
0.972635,3.426350
0.972579,3.426541
0.972524,3.426731
0.972468,3.426922
0.972413,3.427112
0.972358,3.427112
0.972302,3.427493
0.972247,3.427493
0.972191,3.427875
0.972136,3.427875
0.972081,3.428256
0.972025,3.428446
0.971970,3.428446
0.971914,3.428828
0.971859,3.429018
0.971804,3.429209
0.971748,3.429399
0.971693,3.429590
0.971637,3.429780
0.971582,3.429971
0.971527,3.429971
0.971471,3.429971
0.971416,3.430352
0.971360,3.430352
0.971305,3.430733
0.971250,3.430733
0.971194,3.430924
0.971139,3.431114
0.971084,3.431305
0.971028,3.431496
0.970973,3.431496
0.970917,3.431686
0.970862,3.432067
0.970807,3.432067
0.970751,3.432258
0.970696,3.432448
0.970640,3.432639
0.970585,3.432830
0.970530,3.433020
0.970474,3.433020
0.970419,3.433020
0.970363,3.433211
0.970308,3.433401
0.970253,3.433592
0.970197,3.433592
0.970142,3.433782
0.970086,3.433973
0.970031,3.434164
0.969976,3.434164
0.969920,3.434354
0.969865,3.434545
0.969809,3.434545
0.969754,3.434735
0.969699,3.434926
0.969643,3.435116
0.969588,3.435307
0.969532,3.435498
0.969477,3.435498
0.969422,3.435688
0.969366,3.435688
0.969311,3.435879
0.969255,3.435879
0.969200,3.436069
0.969145,3.436069
0.969089,3.436069
0.969034,3.436260
0.968978,3.436451
0.968923,3.436451
0.968868,3.436641
0.968812,3.436832
0.968757,3.436832
0.968702,3.437022
0.968646,3.437213
0.968591,3.437403
0.968535,3.437403
0.968480,3.437785
0.968425,3.437785
0.968369,3.437785
0.968314,3.437785
0.968258,3.437975
0.968203,3.437975
0.968148,3.438166
0.968092,3.438166
0.968037,3.438356
0.967981,3.438547
0.967926,3.438547
0.967871,3.438737
0.967815,3.438737
0.967760,3.438737
0.967704,3.438928
0.967649,3.438928
0.967594,3.438928
0.967538,3.439119
0.967483,3.439119
0.967427,3.439119
0.967372,3.439119
0.967317,3.439309
0.967261,3.439500
0.967206,3.439500
0.967150,3.439690
0.967095,3.439690
0.967040,3.439881
0.966984,3.439881
0.966929,3.439881
0.966873,3.440071
0.966818,3.440071
0.966763,3.440071
0.966707,3.440262
0.966652,3.440262
0.966596,3.440262
0.966541,3.440453
0.966486,3.440453
0.966430,3.440453
0.966375,3.440643
0.966319,3.440643
0.966264,3.440643
0.966209,3.440834
0.966153,3.440834
0.966098,3.440834
0.966043,3.441024
0.965987,3.441215
0.965932,3.441215
0.965876,3.441215
0.965821,3.441405
0.965766,3.441405
0.965710,3.441405
0.965655,3.441596
0.965599,3.441596
0.965544,3.441596
0.965489,3.441596
0.965433,3.441787
0.965378,3.441787
0.965322,3.441787
0.965267,3.441977
0.965212,3.441977
0.965156,3.441977
0.965101,3.441977
0.965045,3.441977
0.964990,3.442168
0.964935,3.442168
0.964879,3.442168
0.964824,3.442168
0.964768,3.442168
0.964713,3.442168
