# OCP data for Sony LFP positive electrode, lithiation
# sto,ocp
0.000000,3.798353
0.000008,3.793398
0.000020,3.788443
0.000033,3.783488
0.000048,3.778533
0.000055,3.776246
0.000073,3.771291
0.000092,3.766336
0.000111,3.761953
0.000133,3.756998
0.000157,3.752043
0.000166,3.750328
0.000192,3.745373
0.000220,3.740418
0.000222,3.740227
0.000250,3.735272
0.000277,3.731080
0.000308,3.726125
0.000333,3.722694
0.000367,3.717739
0.000388,3.714881
0.000425,3.709926
0.000444,3.707448
0.000486,3.702493
0.000499,3.701159
0.000540,3.696204
0.000554,3.694870
0.000597,3.689915
0.000610,3.688772
0.000656,3.683817
0.000665,3.683055
0.000714,3.678100
0.000721,3.677719
0.000772,3.672764
0.000776,3.672383
0.000832,3.667618
0.000887,3.662854
0.000943,3.658471
0.000998,3.653897
0.001053,3.649704
0.001109,3.645893
0.001164,3.641890
0.001220,3.638079
0.001275,3.634267
0.001331,3.631028
0.001386,3.627597
0.001442,3.624167
0.001497,3.620927
0.001552,3.617687
0.001608,3.614448
0.001663,3.611398
0.001719,3.608349
0.001774,3.605681
0.001830,3.603013
0.001885,3.600155
0.001941,3.597486
0.001996,3.594628
0.002051,3.592150
0.002107,3.589482
0.002162,3.587005
0.002218,3.584718
0.002273,3.582240
0.002329,3.579763
0.002384,3.577476
0.002439,3.575189
0.002495,3.572902
0.002550,3.570615
0.002606,3.568519
0.002661,3.566423
0.002717,3.564136
0.002772,3.562040
0.002828,3.560134
0.002883,3.558037
0.002938,3.556132
0.002994,3.554226
0.003049,3.552130
0.003105,3.550414
0.003160,3.548699
0.003216,3.546603
0.003271,3.544888
0.003327,3.542982
0.003382,3.541267
0.003437,3.539742
0.003493,3.538027
0.003548,3.536312
0.003604,3.534597
0.003659,3.533072
0.003715,3.531548
0.003770,3.530023
0.003825,3.528308
0.003881,3.526974
0.003936,3.525259
0.003992,3.523924
0.004047,3.522209
0.004103,3.521066
0.004158,3.519541
0.004214,3.518207
0.004269,3.516683
0.004324,3.515349
0.004380,3.514015
0.004435,3.512681
0.004491,3.510965
0.004546,3.510203
0.004602,3.509060
0.004657,3.507726
0.004713,3.506392
0.004768,3.505248
0.004823,3.504105
0.004879,3.502961
0.004934,3.501627
0.004990,3.500484
0.005045,3.499531
0.005101,3.498197
0.005156,3.497053
0.005212,3.496101
0.005267,3.494957
0.005322,3.494004
0.005378,3.492861
0.005433,3.491717
0.005489,3.490764
0.005544,3.489621
0.005600,3.488668
0.005655,3.487715
0.005710,3.486953
0.005766,3.485809
0.005821,3.484857
0.005877,3.483904
0.005932,3.482951
0.005988,3.481807
0.006043,3.481045
0.006099,3.480092
0.006154,3.479330
0.006209,3.478568
0.006265,3.477424
0.006320,3.476662
0.006376,3.475709
0.006431,3.475137
0.006487,3.474184
0.006542,3.473232
0.006598,3.472469
0.006653,3.471707
0.006708,3.470754
0.006764,3.469992
0.006819,3.469420
0.006875,3.468467
0.006930,3.467705
0.006986,3.466943
0.007041,3.466371
0.007097,3.465609
0.007152,3.464846
0.007207,3.464084
0.007263,3.463512
0.007318,3.462750
0.007374,3.462178
0.007429,3.461225
0.007485,3.460463
0.007540,3.460082
0.007596,3.458938
0.007651,3.458557
0.007706,3.457795
0.007762,3.457414
0.007817,3.456842
0.007873,3.455889
0.007928,3.455317
0.007984,3.454746
0.008039,3.454174
0.008095,3.453602
0.008150,3.452840
0.008205,3.452459
0.008261,3.451887
0.008316,3.451315
0.008372,3.450744
0.008427,3.450172
0.008483,3.449410
0.008538,3.448838
0.008594,3.448266
0.008649,3.447885
0.008704,3.447504
0.008760,3.446742
0.008815,3.446360
0.008871,3.445789
